Hello!
57,5;1552251351,6304;sonar left;0
57,5;1552251351,6332;sonar right;0,46175048638722
57,549999237061;1552251351,7029;sonar front;0,94318693513035
57,549999237061;1552251351,7054;sonar back;1,3948240563054
57,599998474121;1552251351,7737;sonar left;0
57,599998474121;1552251351,7766;sonar right;0,47137571862911
57,650001525879;1552251351,8405;robot pose;-0,0036768205463886;1,313347274845e-05;-0,0014607217690976
57,650001525879;1552251351,8405;marks;0;0;0;0;0;0;0
57,650001525879;1552251351,8435;sonar front;0,97989577712634
57,650001525879;1552251351,8458;sonar back;1,4295567587801
57,700000762939;1552251351,9121;sonar left;0
57,700000762939;1552251351,9153;sonar right;0,46856697503508
57,75;1552251351,9838;sonar front;0,97196781214175
57,75;1552251351,9862;sonar back;1,4306490680979
57,799999237061;1552251352,0577;sonar left;0
57,799999237061;1552251352,0608;sonar right;0,45808214971708
57,849998474121;1552251352,1307;sonar front;0,96933482263369
57,849998474121;1552251352,1333;sonar back;1,4512751401534
57,900001525879;1552251352,2037;sonar left;0
57,900001525879;1552251352,2069;sonar right;0,42351339069048
57,950000762939;1552251352,2737;sonar front;0,99353411250132
57,950000762939;1552251352,2764;sonar back;1,4245173477996
58;1552251352,3413;sonar left;0
58;1552251352,3443;sonar right;0,45343380130031
58,049999237061;1552251352,4105;sonar front;0,96469261484718
58,049999237061;1552251352,4131;sonar back;1,4423957479082
58,099998474121;1552251352,4801;sonar left;0
58,099998474121;1552251352,4831;sonar right;0,44806945064332
58,150001525879;1552251352,551;robot pose;-0,0037076026201248;1,3121358279022e-05;-0,0013391945110473
58,150001525879;1552251352,551;marks;0;0;0;0;0;0;0
58,150001525879;1552251352,5539;sonar front;0,98862459887073
58,150001525879;1552251352,5565;sonar back;1,4269078482289
58,200000762939;1552251352,628;sonar left;0
58,200000762939;1552251352,6313;sonar right;0,44433002060549
58,25;1552251352,7015;sonar front;0,95583426459667
58,25;1552251352,7041;sonar back;1,4390736429367
58,299999237061;1552251352,7702;sonar left;0
58,299999237061;1552251352,7732;sonar right;0,48642423222108
58,349998474121;1552251352,8395;sonar front;0,96444558722264
58,349998474121;1552251352,8421;sonar back;1,3816010328006
58,400001525879;1552251352,9113;sonar left;0
58,400001525879;1552251352,9146;sonar right;0,45565688648535
58,450000762939;1552251352,9837;sonar front;1,0107829180983
